text,label
LCC Checkin HP TouchSmart PC,other
AOO FAN VARGON NISSAN NV,vehicle
Toy Toyota Ffbre.,vehicle
Air conditioning Splits Wall Anwo,other
CB HINO.,vehicle
Air conditioning Split Carrier,other
Towa Toyota Hilux WD cabin,vehicle
Mechanical Press Bank Hino,vehicle
American Vostro computer.,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Pallet Jack Electric Toyota Toyota HBW,vehicle
CPU Desktop Intel Core I GHz GB Ram DDR HD GB Grav DVD Front USB Input CC,other
Chevrolet Corsa Classic PTAS GLS N Chevrolet,vehicle
Monitor Vital Signs Screen Touch Adult Neonatal Neonatal Welchallyn CT,other
CPU Desktop Intel Core I GHz GB Ram DDR HD GB Grav DVD Front USB Input CC,other
Hyundai New H Truck,vehicle
fan,other
Infusion Bomb BD Alaris CC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Monitor Vital Signs General Electric V,other
SUP URIAN APASEO NISSAN NP,vehicle
Company Pickup Leased Ford Ford F XL CC X,vehicle
Body Infrared Thermometer T C a c Medical Use Haier Aet RB,other
Check Out MDF XXMM Computer,other
Pickup Ford F.,vehicle
Computer Laptop FCE ADCT Dell Precision M,other
Truck Nissan Terrano Pick Up,vehicle
Air conditioning UMF.,other
Pickup Ford F.,vehicle
NISSAN NP mechanical truck,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Fguzn Gas Toyota Fgzn Fork,vehicle
CPU Desktop Intel Core I GHz GB Ram DDR HD GB Grav DVD Front USB Input CC,other
VCKUP NISSAN NP DC PICKUP,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
CPU Processor Intel CZD E Com GB DDRZ MHZ COM Hardisk Tera Brand Minas Computers,other
Company SUV FORD Expedition XLT,vehicle
I truck cd x chevrolet luv d max c d tm x,vehicle
Company Pickup Leased Ford Ford F XLT DC X,vehicle
Computer TP Dell Optiplex,other
Personal Computer Dell Sauces Dell Optiplex,other
Crew Van Ford F,vehicle
Company Pickup Fire Suppression Ford Ford F,vehicle
Infusion pump BD Alaris GP,other
Bullet Pump HP Aquapack,other
fan,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Reagent pump,other
CPU Intel Ghz GB DDR HD GB Recorder DVD PC Keyboard Mouse,other
CPU Intel Core I Ghz GB RAM GB HD C Grav DVD Keyboard Mouse,other
HP HP ELITEDESK G workforce,other
CPU Intel Core I GB HD GB C Grav CD DVD Keyboard Mouse,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Truck Truck Sapgj.,vehicle
Air conditioning equipment,other
laptop i dell computer,other
Company Pickup Leased Ford Ford F X,vehicle
Pressure Pressure Water LH Hino,vehicle
f Submersible pump,other
L Truck CS X Chevrolet Luv D Max C D Diesel,vehicle
Fguzn Gas Toyota Fgzn Fork,vehicle
Infusion Bomb BD Alaris CC,other
Truck Kia Motors Frontier,vehicle
Suitel computer,other
Company Pickup Leased Chevrolet X,vehicle
Volkswagen Truck Amarok Comfortline,vehicle
Baldor pump,other
Dell computer,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Toyota Electric Grua Toyota FBMT,vehicle
Chevrolet Tahoe.,vehicle
Kia Frontier truck.,vehicle
Chevrolet Tahoe.,vehicle
Toyota Truck Hilux Truck Toyota Mod CTAP,vehicle
Truck Nissan Terran X,vehicle
Truck Chevrolet New Dmax CC TD WD,vehicle
Monitor Vital Signs Screen Touch Adult Neonatal Neonatal Welchallyn CT,other
Industrial Computer Bematech LC,other
bed room,other
Combusting crane Toyota FGJ,vehicle
Toyota Toyota Hilux Truck,vehicle
UFR truck,vehicle
Paquer Isuzu.,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Company Pickup Leased Chevrolet Silverado HD WD,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
low level sensor,other
pickup truck,vehicle
fan,other
CPU Intel Quad Core Q MHz GB DDR HD GB Strail DVD CD Keyboard Mouse,other
Lenovo Windows Ram Computer and No SCAM,other
Computer Dell Optiplex SFF Dell,other
table side seaside bed,other
Nissan NP is TM DOB CAB Nissan,vehicle
pickup truck,vehicle
UB Ford F.,vehicle
Strapadores P Postcase Rostitch PC,other
T Pick Up Isuzu,vehicle
Sensor photoelectric smoke,other
Mazda BT tires,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
reel hose w hino bahia graco,vehicle
Motorized Ladder Ford F,vehicle
Fiat truck one charge v mt,vehicle
Swapper Van Nissan Van Swapper,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Bed room room,other
Chevrolet D Truck Max Chevrolet D Max,vehicle
HINO HINRAULIC ELEVATOR BAHIA OMCN ART,vehicle
A automobile Toyota.,vehicle
Multiparameter Monitor Model Umec Mindray PMLS UMET,other
Monitor Hemodynamic Mindray Beneview T,other
DMP XR Alarms Panel,other
Geology truck.,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Body Infrared Thermometer T C a c Medical Use Haier Aet RB,other
HP PRODESK G DM Desktop Computer,other
Recalque pump,other
wagon nissan patrol silver paa vagoneta nissan patrol,vehicle
Dell Computer Optiplex,other
Toyota New Hilux Truck,vehicle
Toyota Hilux Management Truck,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Grule combustion Toyota FG,vehicle
pump perfusora atom s,other
Chevrolet Tahoe.,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Toyota Hiace passenger truck,vehicle
Metabisulfite Agitator Aee Ford L LB,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
l Truck cd x Chevrolet Luv D Max Diesel X,vehicle
crew van leased chevrolet van,vehicle
Digital Temp Recorder IMINI External Sensor RGO A C Resolution C Escort MX OE S L,other
Cabotage pump filter.,other
MOV NISSAN NP NAVARA DCAB LT,vehicle
Mazda Cx Valentina Drill KDWF Mazda Cx,vehicle
Oven pizza turbochef bullet encore,other
Ford F Year Ford F,vehicle
GCJ Double Truck Toyota Hilux X,vehicle
Chevrolet Dmax truck,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Company Pickup Fire Suppression Ford Ford F,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
condenser pump,other
Isuzu Rabon Isuzu.,vehicle
Truck Poll Toyota Kia,vehicle
reel hose fat hino bahia graco,vehicle
W Haul Truck on Highway Truck Renault Kera,vehicle
Company Pickup Leased Ford Ford F X,vehicle
High complexity defibrillator monitor with external pacemaker Nihon Kohden TEC K,other
Toyota Hi Lux Truck,vehicle
Electric Clinic Bed with Railings New International Standard Safe Bed Joson Care Ja is HDM,other
Truck Ford F Camionetafordf,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
Truck Peugeot Boxer L D C HDI HP AA,vehicle
Desktop Computer Arinc Airport Systems of Colombia SAS HP Prodesk G SFF,other
Company Pickup Leased Ford Ford F XLT DC X,vehicle
Radiators circulator pump DAB CD T,other
Chevrolet D Max Truck,vehicle
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
fire system and transmission pump Randolph G,other
Company Pickup Ford F cc,vehicle
CPU Intel Core I Ghz GB of Ram HD GB Grav DVD C Keyboard Mouse E Webcam Brand HP,other
Electric Clinic Centuris C Bed Centralized Brake with IEC Hill Rom PC,other
